dimension_id,dimension_label,mapped_source_files,mapped_source_labels,mapped_source_weights,mapping_notes
1,Introduction,UKR-TRIADIC-SOVEREIGNTY-ENGINE-V1.json;UKR-UNIVERSAL-TRANSLATOR-SEMANTIC-IR-V1.json;UKR-TRANSLATE-MULTI-V3.json,Triadic Sovereignty Engine;Universal Translator via Semantic Intermediate Representation;Recursive Multilingual Translation and Semantic Projection Framework,UKR-TRIADIC-SOVEREIGNTY-ENGINE-V1.json:3;UKR-UNIVERSAL-TRANSLATOR-SEMANTIC-IR-V1.json:3;UKR-TRANSLATE-MULTI-V3.json:2,Single-dimension seed mapping used to generate union-based node linkages in the full CSV.
2,Theoretical Foundations,SEPARATION_AXIOMS.json;UKR-17D-STANDARDIZED-OUTPUT-V1.json;ukr_17d_tensor_schema_v1.json;UKR-TRIADIC-SOVEREIGNTY-ENGINE-V1.json,Separation Axioms;17D Standardized Output Format;17D Tensor Schema;Triadic Sovereignty Engine,SEPARATION_AXIOMS.json:3;UKR-17D-STANDARDIZED-OUTPUT-V1.json:3;ukr_17d_tensor_schema_v1.json:3;UKR-TRIADIC-SOVEREIGNTY-ENGINE-V1.json:2,Single-dimension seed mapping used to generate union-based node linkages in the full CSV.
3,Attachment,"Diagnostic_and_statistical_manual_of_mental_disorders_DSM-5_(_PDFDrive.com_).pdf;Military Psychology_ Clinical and Operational Applications,2nd ed-by Carrie H. Kennedy.pdf;UKR-TRIADIC-SOVEREIGNTY-ENGINE-V1.json",DSM-5;Military Psychology: Clinical and Operational Applications;Triadic Sovereignty Engine,"Diagnostic_and_statistical_manual_of_mental_disorders_DSM-5_(_PDFDrive.com_).pdf:3;Military Psychology_ Clinical and Operational Applications,2nd ed-by Carrie H. Kennedy.pdf:3;UKR-TRIADIC-SOVEREIGNTY-ENGINE-V1.json:1",Single-dimension seed mapping used to generate union-based node linkages in the full CSV.
4,Religion/Cults,First_Earth_Battalion_Manual.pdf;UKR-TRIADIC-SOVEREIGNTY-ENGINE-V1.json;Diagnostic_and_statistical_manual_of_mental_disorders_DSM-5_(_PDFDrive.com_).pdf,First Earth Battalion Manual;Triadic Sovereignty Engine;DSM-5,First_Earth_Battalion_Manual.pdf:3;UKR-TRIADIC-SOVEREIGNTY-ENGINE-V1.json:3;Diagnostic_and_statistical_manual_of_mental_disorders_DSM-5_(_PDFDrive.com_).pdf:2,Single-dimension seed mapping used to generate union-based node linkages in the full CSV.
5,Substance Use,"Diagnostic_and_statistical_manual_of_mental_disorders_DSM-5_(_PDFDrive.com_).pdf;Military Psychology_ Clinical and Operational Applications,2nd ed-by Carrie H. Kennedy.pdf",DSM-5;Military Psychology: Clinical and Operational Applications,"Diagnostic_and_statistical_manual_of_mental_disorders_DSM-5_(_PDFDrive.com_).pdf:3;Military Psychology_ Clinical and Operational Applications,2nd ed-by Carrie H. Kennedy.pdf:3",Single-dimension seed mapping used to generate union-based node linkages in the full CSV.
6,Identity Adaptation,"UKR-TRIADIC-SOVEREIGNTY-ENGINE-V1.json;Diagnostic_and_statistical_manual_of_mental_disorders_DSM-5_(_PDFDrive.com_).pdf;Military Psychology_ Clinical and Operational Applications,2nd ed-by Carrie H. Kennedy.pdf",Triadic Sovereignty Engine;DSM-5;Military Psychology: Clinical and Operational Applications,"UKR-TRIADIC-SOVEREIGNTY-ENGINE-V1.json:3;Diagnostic_and_statistical_manual_of_mental_disorders_DSM-5_(_PDFDrive.com_).pdf:2;Military Psychology_ Clinical and Operational Applications,2nd ed-by Carrie H. Kennedy.pdf:2",Single-dimension seed mapping used to generate union-based node linkages in the full CSV.
7,History,"First_Earth_Battalion_Manual.pdf;Military Psychology_ Clinical and Operational Applications,2nd ed-by Carrie H. Kennedy.pdf;UKR-TRIADIC-SOVEREIGNTY-ENGINE-V1.json",First Earth Battalion Manual;Military Psychology: Clinical and Operational Applications;Triadic Sovereignty Engine,"First_Earth_Battalion_Manual.pdf:3;Military Psychology_ Clinical and Operational Applications,2nd ed-by Carrie H. Kennedy.pdf:3;UKR-TRIADIC-SOVEREIGNTY-ENGINE-V1.json:1",Single-dimension seed mapping used to generate union-based node linkages in the full CSV.
8,Algorithmic Influence,UKR-TRANSLATE-MULTI-V3.json;UKR-UNIVERSAL-TRANSLATOR-SEMANTIC-IR-V1.json;UKR-17D-STANDARDIZED-OUTPUT-V1.json;UKR-TRANSLATE-MULTI-V3.1-EXT.json;ukr_17d_tensor_schema_v1.json,Recursive Multilingual Translation and Semantic Projection Framework;Universal Translator via Semantic Intermediate Representation;17D Standardized Output Format;Recursive Multilingual Translation and Semantic Projection Framework - Extended Projection Pack;17D Tensor Schema,UKR-TRANSLATE-MULTI-V3.json:3;UKR-UNIVERSAL-TRANSLATOR-SEMANTIC-IR-V1.json:3;UKR-17D-STANDARDIZED-OUTPUT-V1.json:2;UKR-TRANSLATE-MULTI-V3.1-EXT.json:2;ukr_17d_tensor_schema_v1.json:2,Single-dimension seed mapping used to generate union-based node linkages in the full CSV.
9,Psychological Effects,"Diagnostic_and_statistical_manual_of_mental_disorders_DSM-5_(_PDFDrive.com_).pdf;Military Psychology_ Clinical and Operational Applications,2nd ed-by Carrie H. Kennedy.pdf;UKR-17D-OVERFITTING-ACCUSATION-INTERACTION-FILTER-V1.json;UKR-TRIADIC-SOVEREIGNTY-ENGINE-V1.json",DSM-5;Military Psychology: Clinical and Operational Applications;17D Overfitting Accusation Interaction Filter;Triadic Sovereignty Engine,"Diagnostic_and_statistical_manual_of_mental_disorders_DSM-5_(_PDFDrive.com_).pdf:3;Military Psychology_ Clinical and Operational Applications,2nd ed-by Carrie H. Kennedy.pdf:3;UKR-17D-OVERFITTING-ACCUSATION-INTERACTION-FILTER-V1.json:2;UKR-TRIADIC-SOVEREIGNTY-ENGINE-V1.json:1",Single-dimension seed mapping used to generate union-based node linkages in the full CSV.
10,Therapy/Ethics,"Diagnostic_and_statistical_manual_of_mental_disorders_DSM-5_(_PDFDrive.com_).pdf;Military Psychology_ Clinical and Operational Applications,2nd ed-by Carrie H. Kennedy.pdf;SEPARATION_AXIOMS.json;UKR-TRIADIC-SOVEREIGNTY-ENGINE-V1.json",DSM-5;Military Psychology: Clinical and Operational Applications;Separation Axioms;Triadic Sovereignty Engine,"Diagnostic_and_statistical_manual_of_mental_disorders_DSM-5_(_PDFDrive.com_).pdf:3;Military Psychology_ Clinical and Operational Applications,2nd ed-by Carrie H. Kennedy.pdf:3;SEPARATION_AXIOMS.json:2;UKR-TRIADIC-SOVEREIGNTY-ENGINE-V1.json:2",Single-dimension seed mapping used to generate union-based node linkages in the full CSV.
